year,USD_per_ton
2015.9769503381465, 126.9918079634216
2016.0307689926801, 124.31015431510762
2016.0820248541406, 123.39236910926756
2016.1332807156011, 122.76139178025251
2016.1811195196312, 121.61416027295242
2016.2357924385224, 120.1801208888273
2016.287048299983, 119.60650513517726
2016.3357413683707, 118.88948544311471
2016.3895600229043, 117.88565787422712
2016.443378677438, 117.4554460589896
2016.4954888032562, 116.35601586449367
2016.53820202114, 115.16098304438941
2016.5894578826005, 113.44013578343927
2016.683426961945, 113.00992396820173
2016.7278487085443, 116.16481061327698
2016.7534766392746, 118.88948544311471
2016.7739789838588, 122.76139178025251
2016.8124208799543, 125.48606661009023
2016.8636767414148, 127.13521190183411
2016.9157868672332, 129.54917819844474
2016.958500085117, 130.0749926392906
2016.9943791881394, 131.65243596182825
