province,index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Manitoba,Cooling Degree-Day Index ,0.768498,1.183296,1.160874,1.427691,0.402466,1.107623,1.420404,1.130045,0.831839,0.664798,0.971413,1.399103,0.797646,0.599776,0.980942,1.121637,0.915359,1.121637,1.352579,1.022982,1.361547
New Brunswick,Total Energy Use (PJ),31.975595,29.934796,31.523154,31.42,34.262071,34.313545,32.657248,35.246873,35.624732,36.697275,36.514726,40.554315,39.10373,38.023622,41.105219,43.421048,37.690177,34.381361,34.098293,31.377878,30.311425
New Brunswick,Space Heating,20.955407,19.068712,20.288329,20.270871,22.892481,22.547926,20.876547,24.252469,24.667227,25.981221,25.77469,30.069717,28.4119,27.122004,30.351782,33.309676,27.829916,25.02301,23.768545,21.762032,19.96193
New Brunswick,Water Heating,4.828572,4.694208,4.887497,4.765439,4.991306,5.217602,5.166556,4.751737,4.683318,4.491048,4.485401,4.322438,4.325278,4.282838,4.149836,3.878594,3.726735,3.45441,3.763031,3.497339,3.703252
New Brunswick,Appliances,4.831696,4.780138,4.910794,4.909986,4.947089,5.073832,5.147132,4.886512,4.918107,4.891442,4.897408,4.900446,5.0436,5.277367,5.293671,4.98926,4.941245,4.742059,5.290095,4.996284,5.315403
New Brunswick,Lighting,1.329408,1.334556,1.379924,1.407268,1.382928,1.386274,1.363091,1.250823,1.245226,1.224579,1.207092,1.182748,1.185378,1.208115,1.185669,1.09288,1.06007,1.013021,1.10737,1.032891,1.104633
New Brunswick,Space Cooling,0.030512,0.057182,0.05661,0.066435,0.048268,0.08791,0.103923,0.105333,0.110854,0.108985,0.150134,0.078966,0.137574,0.133298,0.12426,0.150638,0.13221,0.14886,0.169251,0.089331,0.226206
New Brunswick,Total Floor Space (million m2),35.114,35.768,36.4,37.149,38.061,38.784,39.546,40.356,41.128,41.86,42.527,43.273,43.966,44.612,45.163,45.601,46.1,46.446,46.909,47.359,47.888
New Brunswick,Total Households (thousands),285.08,287.48,290.55,293.21,296.12,298.94,300.49,303.86,307.57,311.27,306.822,309.106,310.689,317.726,316.0,318.0,319.0,321.0,325.0,329.0,330.988
New Brunswick,Energy Intensity (GJ/m2),0.910633,0.836914,0.866021,0.845788,0.900195,0.884739,0.825809,0.873392,0.866195,0.876666,0.858626,0.937174,0.889402,0.852311,0.910146,0.952202,0.81757,0.740249,0.726897,0.662551,0.632971
New Brunswick,Energy Intensity (GJ/household),112.163585,104.128274,108.494766,107.158692,115.703334,114.784054,108.679983,115.99708,115.826421,117.895316,119.009476,131.198731,125.861331,119.674246,130.079808,136.544176,118.151025,107.107042,104.917823,95.373489,91.578593
New Brunswick,Total GHG Emissions Excluding Electricity (Mt of CO2e),0.749369,0.636311,0.688195,0.63718,0.773107,0.772324,0.69598,0.791859,0.802475,0.803191,0.900533,1.050338,0.945431,0.694364,0.767997,0.925016,0.773877,0.687705,0.652805,0.562466,0.493857
New Brunswick,GHG Intensity (tonne/TJ),23.435661,21.256555,21.831426,20.279439,22.564502,22.507832,21.311652,22.46608,22.525794,21.886949,24.66219,25.899528,24.177506,18.261387,18.683689,21.303411,20.532602,20.002265,19.144798,17.925555,16.292754
New Brunswick,Heating Degree-Day Index ,0.980635,0.962374,0.985358,1.010484,1.04064,0.956196,0.861104,1.009457,0.962161,0.995331,0.829664,0.906448,0.821275,0.877665,0.95767,1.005688,0.937084,1.005562,0.910767,0.984405,0.860475
New Brunswick,Cooling Degree-Day Index ,0.634894,1.372668,1.263452,1.116895,0.687407,1.087639,1.142565,1.139393,1.109767,1.123697,1.428776,0.782116,1.330264,1.21575,1.095528,1.377861,1.192896,1.377173,1.403015,0.77846,1.818703
Newfoundland and Labrador,Total Energy Use (PJ),19.872256,20.477668,21.766006,19.74,20.333983,18.791857,18.747042,22.230492,22.86586,21.785703,20.884017,22.713374,20.910855,20.460904,21.536321,21.44046,22.373219,24.258357,24.353139,23.798571,22.897711
Newfoundland and Labrador,Space Heating,13.031771,13.557565,14.643646,12.643909,13.627209,12.172003,12.193478,15.63561,16.119014,15.042146,14.234521,15.977575,13.366102,13.355309,15.16715,15.081347,15.720218,17.905237,17.838141,17.48425,16.206341
Newfoundland and Labrador,Water Heating,2.932138,2.989771,3.121351,3.02873,2.898318,2.773317,2.757349,2.886194,2.991661,2.902234,2.848658,2.909745,3.162129,2.824644,2.574977,2.464737,2.645034,2.598782,2.669404,2.581947,2.720805
Newfoundland and Labrador,Appliances,3.02552,3.034659,3.08764,3.123179,2.936571,2.982619,2.959295,2.907635,2.963455,3.053667,3.040315,3.079561,3.538602,3.479042,3.098457,3.193262,3.314602,3.112883,3.194774,3.134662,3.329389
Newfoundland and Labrador,Lighting,0.880055,0.891698,0.910582,0.937016,0.865476,0.859622,0.832554,0.796814,0.786824,0.784884,0.755976,0.744744,0.837907,0.795768,0.688155,0.698259,0.688916,0.638776,0.643996,0.595408,0.635422
Newfoundland and Labrador,Space Cooling,0.002771,0.003974,0.002787,0.007166,0.006411,0.004294,0.004367,0.004238,0.004906,0.002773,0.004547,0.001748,0.006114,0.006141,0.007581,0.002855,0.004448,0.002679,0.006824,0.002304,0.005753
Newfoundland and Labrador,Total Floor Space (million m2),25.52,25.851,26.273,26.802,27.353,27.878,28.417,28.93,29.554,30.185,30.864,31.606,32.198,32.814,33.319,33.748,34.132,34.433,34.733,34.975,35.196
Newfoundland and Labrador,Total Households (thousands),190.48,191.59,193.63,196.03,197.95,199.52,200.2,201.33,204.16,207.01,209.215,211.31,213.0,218.262,216.0,218.0,219.0,224.0,225.0,226.0,228.047
Newfoundland and Labrador,Energy Intensity (GJ/m2),0.778706,0.792135,0.828449,0.736513,0.74338,0.674083,0.659715,0.76843,0.773694,0.721731,0.676656,0.718644,0.649443,0.62355,0.64637,0.635312,0.655499,0.704502,0.701146,0.680448,0.650576
Newfoundland and Labrador,Energy Intensity (GJ/household),104.327259,106.882759,112.410299,100.698873,102.722824,94.185328,93.641571,110.41818,111.999704,105.23986,99.820841,107.488401,98.17303,93.744686,99.705189,98.350736,102.160816,108.296236,108.236174,105.303413,100.407725
Newfoundland and Labrador,Total GHG Emissions Excluding Electricity (Mt of CO2e),0.479225,0.514242,0.580609,0.462982,0.490936,0.372884,0.371955,0.536144,0.57801,0.479871,0.442125,0.519895,0.411495,0.33335,0.399245,0.321343,0.373637,0.47592,0.468676,0.44483,0.403669
