"REF_DATE","GEO","DGUID","Statistic","Household type","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","539","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","634","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","698","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","897","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","855","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","620","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","846","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","664","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","1980","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2253","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2242","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2438","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2558","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2452","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2393","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2698","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Household operations","Dollars","81","units","0","v54530213","1.1.2.12","2940","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1082","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1149","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1146","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1235","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1324","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1346","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1362","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1432","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Communications","Dollars","81","units","0","v54530214","1.1.2.13","1585","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1008","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1020","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1147","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1059","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1089","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1192","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1148","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1307","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings and equipment","Dollars","81","units","0","v54530215","1.1.2.14","1261","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","444","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","424","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","590","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","500","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","499","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","587","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","468","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","536","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Household furnishings","Dollars","81","units","0","v54530216","1.1.2.15","618","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","470","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","528","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","446","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","493","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","535","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","543","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","588","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","643","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Household equipment","Dollars","81","units","0","v54530217","1.1.2.16","564","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","247","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","276","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","222","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","212","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","270","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","254","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","309","","","","0"
