"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Propane heating stove","Percent","239","units","0","v95637329","1.18","","F","","","0"
"2013","Canada","2016A000011124","Other fuel heating stove","Percent","239","units","0","v95637330","1.19","","F","","","0"
"2015","Canada","2016A000011124","Other fuel heating stove","Percent","239","units","0","v95637330","1.19","","F","","","0"
"2017","Canada","2016A000011124","Other fuel heating stove","Percent","239","units","0","v95637330","1.19","","F","","","0"
"2019","Canada","2016A000011124","Other fuel heating stove","Percent","239","units","0","v95637330","1.19","","F","","","0"
"2021","Canada","2016A000011124","Other fuel heating stove","Percent","239","units","0","v95637330","1.19","","F","","","0"
"2013","Canada","2016A000011124","Boiler with hot water or steam radiators","Percent","239","units","0","v95637331","1.20","9","","","","0"
"2015","Canada","2016A000011124","Boiler with hot water or steam radiators","Percent","239","units","0","v95637331","1.20","9","","","","0"
"2017","Canada","2016A000011124","Boiler with hot water or steam radiators","Percent","239","units","0","v95637331","1.20","8","","","","0"
"2019","Canada","2016A000011124","Boiler with hot water or steam radiators","Percent","239","units","0","v95637331","1.20","9","","","","0"
"2021","Canada","2016A000011124","Boiler with hot water or steam radiators","Percent","239","units","0","v95637331","1.20","8","","","","0"
"2013","Canada","2016A000011124","Electric boiler with hot water or steam radiators","Percent","239","units","0","v95637332","1.21","16","","","","0"
"2015","Canada","2016A000011124","Electric boiler with hot water or steam radiators","Percent","239","units","0","v95637332","1.21","23","","","","0"
"2017","Canada","2016A000011124","Electric boiler with hot water or steam radiators","Percent","239","units","0","v95637332","1.21","19","","","","0"
"2019","Canada","2016A000011124","Electric boiler with hot water or steam radiators","Percent","239","units","0","v95637332","1.21","25","","","","0"
"2021","Canada","2016A000011124","Electric boiler with hot water or steam radiators","Percent","239","units","0","v95637332","1.21","28","","","","0"
"2013","Canada","2016A000011124","Natural gas boiler with hot water or steam radiators","Percent","239","units","0","v95637333","1.22","44","","","","0"
"2015","Canada","2016A000011124","Natural gas boiler with hot water or steam radiators","Percent","239","units","0","v95637333","1.22","42","","","","0"
"2017","Canada","2016A000011124","Natural gas boiler with hot water or steam radiators","Percent","239","units","0","v95637333","1.22","44","","","","0"
"2019","Canada","2016A000011124","Natural gas boiler with hot water or steam radiators","Percent","239","units","0","v95637333","1.22","47","","","","0"
"2021","Canada","2016A000011124","Natural gas boiler with hot water or steam radiators","Percent","239","units","0","v95637333","1.22","51","","","","0"
"2013","Canada","2016A000011124","Oil boiler with hot water or steam radiators","Percent","239","units","0","v95637334","1.23","16","","","","0"
"2015","Canada","2016A000011124","Oil boiler with hot water or steam radiators","Percent","239","units","0","v95637334","1.23","11","","","","0"
"2017","Canada","2016A000011124","Oil boiler with hot water or steam radiators","Percent","239","units","0","v95637334","1.23","15","","","","0"
"2019","Canada","2016A000011124","Oil boiler with hot water or steam radiators","Percent","239","units","0","v95637334","1.23","11","","","","0"
"2021","Canada","2016A000011124","Oil boiler with hot water or steam radiators","Percent","239","units","0","v95637334","1.23","11","","","","0"
"2013","Canada","2016A000011124","Wood boiler with hot water or steam radiators","Percent","239","units","0","v95637335","1.24","2","E","","","0"
