,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
3533,8905,6654,2447.3289039339456,1122,996.655517578125,935.46,11794,125.6047472273752,16123,2541
3534,8592,6184,2275.208041946937,1113,1003.5993041992188,932.76,11358,124.5565355756133,15849,2467
3535,8442,5806,2150.0292332291133,1114,1020.4203491210938,945.44,11189,125.5729204836428,16022,2454
3536,8347,5642,2120.4731256151827,1139,1066.5601806640625,974.6,11283,129.96955853278627,16550,2436
3537,8300,5561,2094.3942071323017,1186,1154.623046875,1048.03,11672,137.68581001137937,16745,2402
3538,8271,5567,1981.385560373155,1335,1221.680419921875,1141.76,12562,154.25432131521157,18440,2306
3539,8341,5644,1852.72956252428,1497,1230.8496398925781,1195.03,13411,173.274132285054,19762,2291
3540,8595,5894,1828.3892386069256,1531,1231.6719970703125,1207.79,14260,176.1115189207312,19890,2347
3541,9036,6365,1906.6259940555651,1532,1221.72998046875,1140.61,14726,173.3694448711945,19808,2510
3542,9290,6924,2163.937989753316,1528,1156.6062622070312,1144.22,14925,170.4710337938001,19990,2630
3543,9438,7158,2367.3535539197806,1515,1180.4697875976562,1137.93,15110,168.70784415272175,19401,2654
3544,9555,7209,2407.3412289268626,1486,1159.960205078125,1115.18,15257,166.28821172514552,19266,2666
3545,9579,7213,2412.5570126234384,1470,1192.1636962890625,1094.78,15066,162.6691752394069,18879,2646
3546,9551,7185,2379.5237158784566,1437,1181.1306457519531,1067.89,14769,159.19362949736686,18445,2717
3547,9580,7084,2489.055173506554,1430,1173.5530700683594,1105.35,14557,157.1096236827112,17892,2767
3548,9524,7045,2579.462090913871,1437,1174.8958129882812,1123.69,14758,159.12681751242718,18397,2750
3549,9502,6919,2572.50771265177,1416,1136.6629028320312,1097.55,14791,159.9734169702824,18768,2756
3550,9475,6877,2628.142738748581,1401,1135.6859130859375,1084.28,14546,159.32231442520188,18734,2743
3551,9436,6949,2675.0847920177653,1381,1153.2208557128906,1079.93,13156,159.04277441266973,18254,2703
3552,9301,7051,2626.4041441830555,1373,1199.1990966796875,1090.75,14655,160.07771203491137,18406,2673
3553,9120,6947,2563.814739824143,1385,1197.083251953125,1040.99,14590,162.16419878007798,18173,2631
3554,9026,6860,2454.283282196047,1341,1157.8826904296875,1066.01,13754,152.31719315762592,17446,2620
3555,9059,6731,2403.8640397958125,1278,1118.988037109375,1027.8,12693,140.44311755918423,16794,2655
3556,9001,6764,2452.5446876305223,1217,1090.6967163085938,990.58,12032,132.53063821762862,16104,2590
3557,8801,6507,2329.104473478223,1192,1098.6189270019531,967.64,11584,127.7469505795948,16074,2532
3558,8600,6157,2228.265988677753,1188,1115.8346862792969,966.85,11287,124.41695806617844,15923,2454
3559,8496,5746,2052.667937559694,1201,1127.1940612792969,971.38,11085,125.42453975144457,16096,2426
3560,8419,5568,2002.2486951594597,1213,1131.1323852539062,978.63,11072,127.56536044476437,16398,2403
3561,8366,5513,1990.0785332007817,1235,1143.1133117675781,944.17,11378,131.0321800432919,16546,2414
3562,8347,5548,2030.0662082078652,1284,1168.960205078125,1009.76,11707,138.72242088210237,16747,2408
3563,8261,5584,2040.497775601017,1372,1208.4206237792969,1038.44,12127,150.77127050868262,17449,2388
3564,8288,5624,1988.339938635257,1454,1222.9064331054688,1097.19,12231,162.07474047222263,18206,2411
3565,8500,5826,2019.6346408147124,1491,1216.5177612304688,1118.34,12236,167.76908819953223,18447,2416
3566,8727,6148,2021.373235380238,1491,1203.3270568847656,1144.2,12047,167.94738302513636,18533,2508
3567,8891,6413,2172.6309625809427,1485,1182.6098022460938,1154.84,12123,168.3270952469078,18548,2578
3568,9012,6635,2289.1167984711396,1457,1145.8410034179688,1144.15,12192,166.27113847100668,18274,2624
3569,9078,6707,2363.8763647887295,1418,1063.5216369628906,1143.89,11993,161.7323351506311,17900,2646
3570,9062,6714,2363.8763647887295,1377,1072.08349609375,1157.48,11773,159.42174300675458,17419,2680
3571,9020,6679,2429.942958278692,1364,1101.0050048828125,1200.45,11739,159.37658611194868,17134,2659
3572,8987,6617,2396.9096615337103,1376,1108.3896484375,1228.42,11962,162.6379567524807,17576,2654
3573,8981,6532,2416.0342017544895,1382,1095.5509033203125,1207.05,12737,167.6539829658957,17596,2645
3574,9033,6495,2412.5570126234384,1367,1084.8970947265625,1183.77,13231,165.23666228522143,17770,2664
3575,9113,6544,2459.4990658926226,1354,1119.2325744628906,1162.11,13713,161.8785702550548,17659,2675
3576,9074,6632,2490.7937680720793,1353,1132.8074340820312,1135.75,13762,160.70859370122318,17327,2584
3577,9021,6616,2344.7518245679503,1363,1132.2875671386719,1073.78,13732,160.7040113770622,17632,2507
3578,8958,6544,2191.755502801721,1322,1107.6952819824219,1050.71,13303,152.99073434552835,16803,2496
3579,8919,6450,2150.0292332291133,1258,1079.3458251953125,1060.47,12477,141.24908661552135,16191,2582
3580,8917,6452,2273.469447381412,1210,1057.8170471191406,1025.17,11804,132.5765116312215,15710,2557
3581,8722,6253,2226.5273941122273,1184,1053.0990905761719,1010.05,11376,127.91758731253228,15536,2487
3582,8527,5869,2103.087179959929,1181,1057.9340209960938,1003.75,11103,125.83969516150822,15389,2479
3583,8382,5578,2078.746856042574,1191,1067.3510131835938,1004.51,10965,127.89347409600146,15285,2432
3584,8289,5414,1988.339938635257,1207,1074.1855163574219,1014.2,10792,129.90013718584783,15623,2424
3585,8226,5343,1969.215398414478,1231,1087.8848571777344,1034.44,10854,131.08134142998333,15559,2378
3586,8210,5339,1894.4558320968886,1269,1070.1354675292969,1080.06,10960,134.30992212481922,15954,2359
3587,8125,5309,1845.7751842621788,1322,1084.1434631347656,1142.99,11243,138.91937030146448,16630,2303
3588,8177,5294,1724.0735646754056,1393,1099.0443420410156,1140.9,11538,148.96184595016848,17513,2340
3589,8329,5408,1812.741887517198,1433,1091.4273986816406,1178.79,11590,153.89357080748042,17878,2380
3590,8549,5694,1889.240048400312,1455,1086.9566955566406,1198.95,11514,156.483892303917,18162,2483
3591,8748,6070,2057.88372125627,1447,1075.8906555175781,1195.52,11683,158.9639211131715,18281,2510
3592,8894,6345,2099.609990828878,1433,1051.2655944824219,1168.49,11810,157.82382497365128,18067,2585
3593,9017,6554,2224.7887995467026,1402,1026.0450134277344,1144.17,11773,152.13819154764025,17646,2605
3594,9101,6695,2268.253663684836,1376,994.7751770019531,1143.88,11553,148.9830120370637,17334,2591
3595,9102,6690,2259.560690857209,1369,993.5428161621094,1186.25,11769,150.01072145094926,17301,2598
3596,9134,6615,2273.469447381412,1409,1019.555908203125,1207.33,12319,158.76135819438252,17805,2640
3597,9213,6581,2341.2746354368996,1442,1025.7071228027344,1181.77,13165,166.98417642167826,18574,2686
3598,9374,6608,2419.5113908855405,1456,1040.2465209960938,1170.32,13543,164.84228315895072,18543,2720
3599,9517,6703,2501.225335465231,1465,1063.0987854003906,1213.22,13632,165.87647648488306,18585,2751
3600,9571,6905,2555.121766996517,1456,1071.2123718261719,1220.27,13717,165.8857759453885,18001,2743
3601,9553,6874,2546.4287941688904,1429,1065.3477783203125,1146.29,13767,163.79554052760597,17651,2690
3602,9466,6759,2428.2043637131674,1330,992.2977600097656,1076.92,13267,147.44331343810782,16429,2685
3603,9361,6722,2386.478094140559,1229,918.7072143554688,1018.53,12489,132.03548855580675,15531,2645
3604,9261,6687,2301.286960429817,1162,902.8296508789062,991.57,11808,123.03186207021608,15356,2613
3605,8963,6366,2243.9133397674814,1143,921.7051391601562,982.2,11412,117.46666672376375,15136,2510
3606,8661,5968,2066.5766940838967,1124,940.8794860839844,979.88,11210,114.9746627267356,14940,2440
3607,8564,5643,1979.6469658076303,1122,962.9633483886719,989.26,11095,116.827561288587,15011,2426
3608,8489,5504,1969.215398414478,1145,1005.829345703125,1023.07,11101,119.91377432717192,14943,2384
3609,8449,5417,1910.1031831866158,1193,1070.3976440429688,1114.81,11616,127.25634370653418,15615,2376
3610,8445,5411,1917.057561448718,1329,1109.8052978515625,1225.16,12286,142.1738903680654,18161,2383
3611,8511,5453,1941.3978853660728,1501,1117.4838562011719,1263.82,13101,170.00490366373856,18664,2394
3612,8711,5638,1965.7382092834268,1540,1110.664794921875,1247.49,13647,177.08411427913902,19527,2444
3613,9204,6060,2037.020586469966,1552,1096.8958740234375,1259.4,13625,177.61460153969742,19346,2551
3614,9502,6620,2207.402853891449,1558,1093.8544006347656,1270.82,13408,176.56127834804937,19464,2684
3615,9689,6916,2426.465769147641,1566,1098.78857421875,1218.26,13493,175.5973187182006,19442,2734
3616,9815,7063,2527.304253948111,1539,1063.1512756347656,1168.81,13612,174.91164349732665,18996,2807
3617,9819,7153,2661.1760354935627,1527,1054.0439758300781,1126.86,13766,172.45721381429667,19008,2837
3618,9838,7244,2730.719818114576,1488,1065.1135559082031,1129.11,13686,169.88217061604468,18729,2843
3619,9885,7317,2715.0724670248474,1473,1091.6790771484375,1166.81,13984,168.21177377928527,18450,2874
3620,9880,7315,2763.7531148595576,1515,1094.907470703125,1192.85,14424,172.57674604621235,19448,2871
3621,9880,7314,2762.014520294031,1524,1090.0894775390625,1157.62,15028,176.48903077048888,19499,2876
3622,9887,7353,2855.8986268323997,1498,1070.052001953125,1140.1,15375,170.7814606223423,19623,2894
3623,9894,7467,2901.1020855360593,1480,1092.3511047363281,1143.83,15392,169.32371058615485,19137,2908
3624,9727,7626,2925.4424094534143,1453,1089.0732421875,1121.68,15029,168.24701429976005,18845,2888
3625,9611,7511,2894.147707273957,1418,1072.2259521484375,1072.49,14904,162.7386990732661,18850,2804
3626,9528,7358,2715.0724670248474,1327,1014.8139038085938,1052.52,13951,147.3078114262499,17613,2770
3627,9530,7242,2621.188360486479,1236,968.3317260742188,994.4,12814,132.00863144672226,16237,2750
3628,9389,7138,2570.7691180862444,1153,930.7469482421875,956.47,12232,120.7681770193108,16029,2697
3629,9036,6720,2471.6692278513005,1104,930.8766174316406,935.09,11727,116.00133443339413,15442,2584
3630,8814,6234,2264.7764745537847,1061,926.65380859375,926.99,11435,112.5901531300882,15417,2488
3631,8637,5843,2085.701234304675,1086,904.0509338378906,928.24,11378,111.47477771126371,15147,2427
3632,8534,5648,1962.2610201523757,1124,888.6344299316406,958.6,11402,113.60540680332538,15033,2397
3633,8490,5494,1913.5803723176668,1174,966.9937744140625,1041.4,11716,120.25901926374546,15642,2409
3634,8494,5379,1911.8417777521422,1299,1024.668228149414,1118.02,12432,137.84363443004523,17391,2364
3635,8555,5425,1837.0822114345524,1462,1037.7370147705078,1164.71,13366,160.09709323515798,17776,2341
3636,8795,5559,1816.2190766482477,1504,996.9414520263672,1218.37,14149,168.40469466276272,18739,2409
3637,9255,6019,1918.7961560142426,1494,996.1482086181641,1238.45,14244,169.8543510884493,18559,2537
3638,9613,6638,2136.12047670491,1479,997.1439361572266,1251.27,14080,169.23204714410048,18611,2673
3639,9858,6996,2370.8307430508307,1477,1015.2511138916016,1196.25,14203,171.4345017489988,18787,2750
3640,10002,7193,2504.702524596282,1450,991.5721435546875,1161.52,14576,170.5191599423132,18622,2807
3641,9961,7390,2619.449765920954,1433,975.0803680419922,1136.99,14600,170.0285583107625,18538,2884
3642,10015,7487,2762.014520294031,1416,972.9951019287109,1129.01,14539,165.5447045442561,18177,2922
3643,10053,7653,2829.81970834952,1426,1042.9903259277344,1146.56,14757,165.73420449227257,18142,2938
3644,10066,7736,2864.5915996600265,1461,1050.1607666015625,1155.41,15160,170.29026058071184,18462,3001
3645,10190,7727,2974.123057288123,1456,1033.6543884277344,1118.89,15783,173.06507244280562,19168,2998
3646,10264,7769,2996.724786639952,1432,1023.6184539794922,1100.97,16351,167.33497185334048,18852,3054
3647,10306,7911,3134.0737573164542,1400,1042.0796813964844,1093.66,16372,165.92384928518646,18833,3047
3648,10211,8019,3146.243919275131,1376,1048.4198608398438,1102.75,15892,166.1098800155383,18623,3021
3649,10139,7950,3106.2562442680487,1360,1035.5194091796875,1095.49,15688,164.58974127892026,18330,2938
3650,9932,7779,2935.8739768465657,1293,985.4111022949219,1028.79,14892,149.15194026318528,17256,2894
3651,9728,7605,2824.6039246529435,1192,939.0157470703125,964.61,13713,130.5028816163654,15915,2889
3652,9588,7434,2807.217978997691,1104,912.415283203125,926.97,12830,122.72575982486413,15559,2778
3653,9239,7060,2609.018198527802,1078,905.3904113769531,910.94,12173,120.10597637081379,15242,2684
3654,9096,6507,2443.8517148028955,1065,917.7630310058594,913.99,11829,118.75409501980715,15219,2563
3655,8981,6017,2226.5273941122273,1061,928.3560485839844,930.2,11613,117.73021160875817,14748,2512
3656,8806,5767,2127.427503877283,1075,952.4609069824219,941.66,11570,118.90629335813344,14468,2418
3657,8741,5590,1970.9539929800035,1102,1023.0213317871094,1008.26,11852,124.38357062107866,15090,2342
3658,8746,5473,1807.5261038206218,1232,1073.97900390625,1099.2,12559,140.18271625394505,16772,2358
3659,8785,5507,1864.899724482958,1388,1079.5050659179688,1144.71,13350,159.5470815725601,17859,2387
3660,9112,5633,1911.8417777521422,1433,1069.0943603515625,1151.81,14066,165.8024316818017,18862,2481
3661,9642,6133,2061.360910387321,1440,1050.4980163574219,1146.27,14537,167.0169795696928,18607,2643
3662,10018,6768,2334.320257174799,1438,1046.4169616699219,1153.59,14705,166.00662807947435,18715,2747
3663,10116,7179,2532.520037644687,1438,1040.0240478515625,1152.72,14891,166.28636344456393,18919,2859
3664,10054,7352,2756.798736597456,1423,1007.2712707519531,1140.59,15316,164.35076792011438,18941,2972
3665,10166,7496,2972.384462722598,1419,979.1144714355469,1118.58,15503,164.15385039361908,18780,3077
3666,10273,7619,3156.675486668284,1413,989.4038391113281,1129.74,15608,159.0730947994127,18704,3125
3667,10422,7793,3238.3894312479742,1422,1014.0136108398438,1162.65,16007,160.41342299674622,18776,3190
3668,10500,7893,3367.045429096849,1463,1024.4611511230469,1188.38,16426,167.56877742901096,19273,3228
3669,10601,7929,3462.668130200743,1460,1011.7808227539062,1161.81,16996,172.33299147960284,19801,3204
3670,10626,7993,3493.962832380199,1443,981.0118713378906,1148.44,16825,170.39533173278966,19548,3220
3671,10594,8087,3537.427696518332,1420,980.1897277832031,1127.94,16318,167.96866894531985,19353,3293
3672,10432,8103,3671.2994780637828,1406,995.5393981933594,1126.93,15837,163.95329163848103,19348,3219
3673,10341,7997,3533.950507387281,1386,988.5968017578125,1050.17,15822,162.88855659562822,18776,3194
3674,10202,7787,3459.1909410696926,1297,932.9784240722656,976.44,14972,151.55178238567584,17943,3069
3675,9965,7499,3208.833323634044,1185,871.3719482421875,901.6,13831,135.01006301385144,16618,3009
3676,9892,7383,3087.1317040472695,1096,854.754638671875,862.85,12950,122.45625779640777,15861,2941
3677,9545,6966,2956.7371116328695,1061,848.6129455566406,842.51,12514,115.98395397515166,15417,2782
3678,9250,6462,2662.9146300590874,1044,853.5911254882812,810.48,12389,112.7068862592635,15110,2671
3679,9079,6039,2403.8640397958125,1036,863.6708679199219,764.5,12161,112.77125996956345,14864,2574
3680,8946,5816,2158.72220605674,1056,896.3580322265625,794.33,12095,114.72263201171009,14902,2562
3681,8834,5697,2146.552044098062,1032,967.1730651855469,887.18,12324,120.08581090352602,15061,2549
3682,8789,5585,2155.245016925689,1210,1013.8595275878906,997.04,13015,137.82547977319663,16575,2483
3683,8798,5590,2082.224045173625,1382,1034.7754211425781,1026.17,14090,159.10595446674688,17795,2479
3684,9089,5691,2090.917018001251,1433,1039.1053771972656,1029.59,14911,166.42510762675835,18582,2547
3685,9566,6079,2198.709881063822,1443,1028.08447265625,1035.75,15210,168.77020686317138,18783,2744
3686,9869,6692,2534.2586322102125,1462,1022.3781433105469,1048.09,15390,168.16773604373307,19154,2911
3687,10089,7021,2815.9109518253176,1468,1018.8249206542969,1052.77,15679,167.40701823359996,19316,3005
3688,10288,7203,2982.8160301157495,1451,994.3967895507812,1048.35,15863,167.586973969095,19334,3113
3689,10444,7366,3174.061432323537,1447,968.8948059082031,1046.73,15857,168.2232817588727,19271,3196
3690,10540,7516,3316.626186696614,1425,988.443359375,1055.35,15738,167.02325844744877,18780,3247
3691,10581,7642,3419.203266062609,1425,995.2516174316406,1077.29,15758,170.28638615683016,19025,3300
3692,10452,7653,3509.610183469927,1438,1011.2311401367188,1094.08,16310,177.5029195310593,19318,3242
3693,10179,7696,3433.1120225868126,1438,979.952880859375,1073.0,16928,177.41937419250482,19665,3035
3694,10345,7741,3153.198297537233,1427,958.318359375,1052.99,16955,170.59049863600592,19475,3164
3695,10392,7841,3460.9295356352177,1412,989.4777221679688,1034.62,16782,168.0758214948778,19244,3296
3696,10291,7889,3686.946829153512,1390,1000.2378234863281,1041.56,16604,168.0671133467518,18993,3286
3697,10217,7811,3666.0836943672066,1372,989.6497497558594,967.06,16346,164.36548398664632,18524,3175
3698,10054,7611,3436.5892117178632,1293,929.3231201171875,921.74,15316,148.75198705585925,17962,3096
3699,9925,7390,3278.377106255057,1189,905.9208984375,851.08,13941,134.00614200423283,16838,3031
3700,9726,7228,3137.5509464475044,1108,831.2637634277344,803.93,13177,121.84545967692304,15633,2919
3701,9455,6867,2935.8739768465657,1074,799.5403442382812,792.91,12485,115.04674461939713,15360,2801
3702,9157,6343,2718.5496561558984,1063,803.3338012695312,793.47,12123,111.9217232715649,15038,2721
